Id,Label,timeset,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Clustering Coefficient,pageranks
17,17,,1,9,10,3,0.695652,0.802083,1.689683,0.844444,0.067418
13,13,,1,4,5,4,0.533333,0.630208,0,1,0.037739
16,16,,1,10,11,3,0.727273,0.833333,0.889683,0.872727,0.072684
12,12,,2,7,9,2,0.695652,0.78125,7.147619,0.777778,0.063652
3,3,,6,5,11,3,0.727273,0.833333,0.889683,0.872727,0.072684
4,4,,8,4,12,3,0.761905,0.864583,2.868254,0.787879,0.079114
5,5,,10,1,11,2,0.761905,0.84375,9.694444,0.745455,0.075633
9,9,,11,0,11,3,0.727273,0.833333,2.375397,0.781818,0.073214
15,15,,2,8,10,2,0.727273,0.8125,8.272619,0.777778,0.069395
6,6,,9,3,12,3,0.761905,0.864583,2.868254,0.787879,0.079114
7,7,,11,3,14,3,0.842105,0.927083,31.868254,0.571429,0.104146
1,1,,2,6,8,3,0.64,0.739583,0.1,0.964286,0.05483
2,2,,2,7,9,3,0.666667,0.770833,0.225,0.944444,0.060813
8,8,,3,1,4,3,0.516129,0.59375,15.111111,0.333333,0.041613
11,11,,0,1,1,4,0.470588,0.505208,0,0,0.015145
10,10,,0,1,1,4,0.470588,0.505208,0,0,0.015145
0,0,,1,0,1,4,0.347826,0.390625,0,0,0.017659
