AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Degree,Eccentricity,IsSingleNode,name,NeighborhoodConnectivity,NumberOfDirectedEdges,NumberOfUndirectedEdges,PartnerOfMultiEdgedNodePairs,Radiality,selected,SelfLoops,shared name,Stress,TopologicalCoefficient
2.792176039,0.05427117,0.358143608,0.256666667,25,5,FALSE,30,16.6,0,25,0,0.964156479,FALSE,0,30,158078,0.12237037
2.743276284,0.016946688,0.364527629,0.221343874,23,6,FALSE,1,21.7826087,0,23,0,0.965134474,FALSE,0,1,47062,0.127877238
3.139364303,0.005264882,0.318535826,0.438095238,21,6,FALSE,63,21.19047619,0,21,0,0.957212714,FALSE,0,63,12486,0.18426501
3.322738386,0.002181686,0.300956586,0.461988304,19,7,FALSE,78,18.26315789,0,19,0,0.953545232,FALSE,0,78,8094,0.191135734
3.08801956,0.010856239,0.323832146,0.227272727,12,6,FALSE,83,18.83333333,0,12,0,0.958239609,FALSE,0,83,18602,0.145669291
3.156479218,0.001604998,0.316808675,0.610294118,17,6,FALSE,97,21.17647059,0,17,0,0.956870416,FALSE,0,97,6730,0.192513369
3.237163814,0.003154769,0.308912387,0.493506494,22,7,FALSE,120,21.31818182,0,22,0,0.955256724,FALSE,0,120,6428,0.188656476
3.190709046,0.002470924,0.313409962,0.502164502,22,7,FALSE,125,21.22727273,0,22,0,0.956185819,FALSE,0,125,9068,0.191236691
3.408312958,2.95E-04,0.293400287,0.653846154,13,7,FALSE,130,23.23076923,0,13,0,0.951833741,FALSE,0,130,770,0.27239819
3.210268949,0.002474719,0.311500381,0.478947368,20,6,FALSE,144,19.65,0,20,0,0.955794621,FALSE,0,144,8170,0.188461538
2.491442543,0.201942679,0.401373896,0.085714286,50,6,FALSE,157,14.98,0,50,0,0.970171149,FALSE,0,157,519618,0.065240175
2.958435208,0.003616427,0.338016529,0.208791209,14,6,FALSE,174,19.71428571,0,14,0,0.960831296,FALSE,0,174,9368,0.145502646
3.180929095,0.002235412,0.314373559,0.575163399,18,7,FALSE,185,23.38888889,0,18,0,0.956381418,FALSE,0,185,8654,0.194907407
3.322738386,0.001738252,0.300956586,0.577777778,10,6,FALSE,196,21.5,0,10,0,0.953545232,FALSE,0,196,7480,0.26875
2.982885086,0.014674873,0.335245902,0.460215054,31,6,FALSE,210,21,0,31,0,0.960342298,FALSE,0,210,36660,0.173553719
3.107579462,0.001718054,0.321793863,0.371428571,15,6,FALSE,240,21.66666667,0,15,0,0.957848411,FALSE,0,240,3948,0.174731183
2.410757946,0.264231928,0.414807302,0.112643678,30,5,FALSE,274,21.83333333,0,30,0,0.971784841,FALSE,0,274,868730,0.089711934
3.254278729,0.005266909,0.307287754,0.426900585,19,6,FALSE,293,17.52631579,0,19,0,0.954914425,FALSE,0,293,13950,0.199162679
2.809290954,0.019279223,0.355961706,0.235449735,28,6,FALSE,305,19.57142857,0,28,0,0.963814181,FALSE,0,305,46152,0.128524436
3.085574572,0.015165117,0.324088748,0.3125,32,6,FALSE,318,19.8125,0,32,0,0.958288509,FALSE,0,318,49490,0.150094697
2.982885086,0.003210199,0.335245902,0.608333333,16,5,FALSE,328,24.625,0,16,0,0.960342298,FALSE,0,328,11474,0.212284483
2.667481663,0.076613153,0.374885426,0.15719697,33,6,FALSE,333,17.33333333,0,33,0,0.966650367,FALSE,0,333,234396,0.095238095
3.200488998,0.005632467,0.312452254,0.466666667,21,6,FALSE,342,19.23809524,0,21,0,0.95599022,FALSE,0,342,22432,0.188608777
2.963325183,0.019175136,0.337458746,0.102564103,13,6,FALSE,361,20.53846154,0,13,0,0.960733496,FALSE,0,361,45574,0.129838315
3.210268949,0.004121729,0.311500381,0.595238095,21,6,FALSE,7,27.23809524,0,21,0,0.955794621,FALSE,0,7,15254,0.20952381
3.012224939,0.008188638,0.331980519,0.6,26,6,FALSE,2,25.76923077,0,26,0,0.959755501,FALSE,0,2,41638,0.224080268
3.122249389,0.006393421,0.320281911,0.683794466,23,6,FALSE,39,24.34782609,0,23,0,0.957555012,FALSE,0,39,36712,0.320366133
3.594132029,0.004036578,0.278231293,0.694736842,20,6,FALSE,74,24.35,0,20,0,0.948117359,FALSE,0,74,15724,0.397540984
3.26405868,0.003117976,0.306367041,0.683794466,23,6,FALSE,75,27.73913043,0,23,0,0.954718826,FALSE,0,75,12074,0.243325706
3.41809291,0.002741582,0.292560801,0.575498575,27,6,FALSE,104,24.48148148,0,27,0,0.951638142,FALSE,0,104,8090,0.260441292
3.378973105,0.00573934,0.295947902,0.537634409,31,6,FALSE,116,23.12903226,0,31,0,0.952420538,FALSE,0,116,22892,0.256630824
2.865525672,0.041679152,0.348976109,0.280177187,43,6,FALSE,148,22.55813953,0,43,0,0.962689487,FALSE,0,148,115742,0.157423971
3.195599022,0.004847935,0.312930375,0.649230769,26,6,FALSE,149,27.11538462,0,26,0,0.95608802,FALSE,0,149,18878,0.208579882
3.606356968,1.12E-04,0.277288136,0.757246377,24,6,FALSE,182,25.20833333,0,24,0,0.947872861,FALSE,0,182,404,0.427259887
3.134474328,0.005005142,0.319032761,0.642105263,20,6,FALSE,200,25.55,0,20,0,0.957310513,FALSE,0,200,26014,0.34
3.444987775,0.001832464,0.290276792,0.723809524,21,6,FALSE,201,26.23809524,0,21,0,0.951100244,FALSE,0,201,5768,0.288330717
3.665036675,4.30E-04,0.272848566,0.555555556,9,6,FALSE,221,16.77777778,0,9,0,0.946699267,FALSE,0,221,3100,0.284369115
3.227383863,0.003836977,0.309848485,0.576666667,25,6,FALSE,223,25.72,0,25,0,0.955452323,FALSE,0,223,8766,0.229285714
3.5599022,3.76E-04,0.280906593,0.699275362,24,6,FALSE,235,25.04166667,0,24,0,0.948801956,FALSE,0,235,1186,0.368259804
2.973105134,0.015071557,0.336348684,0.673333333,25,5,FALSE,239,25.64,0,25,0,0.960537897,FALSE,0,239,69758,0.263917526
3.039119804,0.006141131,0.329042639,0.68115942,24,6,FALSE,283,26.04166667,0,24,0,0.959217604,FALSE,0,283,36400,0.257838284
3.298288509,0.003471763,0.303187546,0.53030303,33,6,FALSE,286,24.12121212,0,33,0,0.95403423,FALSE,0,286,10252,0.227558605
3.315403423,0.001227686,0.301622419,0.669950739,29,6,FALSE,291,26.24137931,0,29,0,0.953691932,FALSE,0,291,5678,0.254770673
3.58190709,0.002499178,0.279180887,0.670289855,24,6,FALSE,343,24.20833333,0,24,0,0.948361858,FALSE,0,343,17312,0.383597884
3.334963325,0.002089083,0.299853372,0.217948718,13,6,FALSE,347,16.69230769,0,13,0,0.953300733,FALSE,0,347,4698,0.163650075
3.547677262,5.54E-04,0.281874569,0.623931624,27,6,FALSE,362,23.85185185,0,27,0,0.949046455,FALSE,0,362,1416,0.350762527
3.339853301,0.004363899,0.299414348,0.510582011,28,6,FALSE,366,23.78571429,0,28,0,0.953202934,FALSE,0,366,9894,0.224393531
2.943765281,0.029283562,0.339700997,0.279069767,43,6,FALSE,372,22,0,43,0,0.961124694,FALSE,0,372,68234,0.15942029
3.386308068,7.18E-04,0.295306859,0.701538462,26,6,FALSE,380,26.03846154,0,26,0,0.952273839,FALSE,0,380,3384,0.289316239
3.215158924,0.012848889,0.311026616,0.531182796,31,6,FALSE,410,24.09677419,0,31,0,0.955696822,FALSE,0,410,47614,0.194328824
3.995110024,0.002845843,0.250305998,0.285714286,8,8,FALSE,6,12.25,0,8,0,0.9400978,FALSE,0,6,17264,0.237745098
3.149144254,0.022258432,0.317546584,0.225296443,23,7,FALSE,3,15.65217391,0,23,0,0.957017115,FALSE,0,3,84490,0.115089514
3.596577017,0.008779531,0.278042148,0.187134503,19,7,FALSE,14,15,0,19,0,0.94806846,FALSE,0,14,24084,0.145120082
3.317848411,0.011055923,0.301400147,0.274725275,14,7,FALSE,28,15.57142857,0,14,0,0.953643032,FALSE,0,28,35686,0.137800253
3.924205379,0.015968282,0.25482866,0.243589744,13,8,FALSE,57,12.23076923,0,13,0,0.941515892,FALSE,0,57,59908,0.185314685
4,0.00276217,0.25,0.25,8,8,FALSE,96,11.5,0,8,0,0.94,FALSE,0,96,18400,0.216981132
3.266503667,0.001627532,0.306137725,0.381818182,11,7,FALSE,109,19.90909091,0,11,0,0.954669927,FALSE,0,109,7508,0.180991736
3.706601467,0.001636793,0.269788918,0.511111111,10,7,FALSE,110,16.1,0,10,0,0.945867971,FALSE,0,110,5050,0.23
3.178484108,0.005638352,0.314615385,0.181818182,11,7,FALSE,128,20,0,11,0,0.956430318,FALSE,0,128,8568,0.146390374
3.973105134,2.32E-04,0.251692308,0.533333333,6,8,FALSE,129,17.83333333,0,6,0,0.940537897,FALSE,0,129,486,0.297222222
3.222493888,0.009524022,0.310318665,0.450592885,23,7,FALSE,163,19.43478261,0,23,0,0.955550122,FALSE,0,163,30656,0.190537084
3.709046455,0.00224287,0.269611074,0.257142857,15,7,FALSE,172,12.8,0,15,0,0.945819071,FALSE,0,172,5306,0.162393162
3.709046455,0.005797522,0.269611074,0.416666667,9,7,FALSE,197,13.33333333,0,9,0,0.945819071,FALSE,0,197,13486,0.198653199
3.37408313,0.003994764,0.296376812,0.290909091,11,7,FALSE,229,18.27272727,0,11,0,0.952518337,FALSE,0,229,16942,0.194390716
3.146699267,0.02638071,0.317793318,0.206153846,26,7,FALSE,236,15.07692308,0,26,0,0.957066015,FALSE,0,236,72994,0.109769792
3.872860636,0.004739511,0.258207071,0.208791209,14,8,FALSE,241,12.64285714,0,14,0,0.942542787,FALSE,0,241,24316,0.162337662
3.06601467,0.0182898,0.3261563,0.227272727,12,6,FALSE,245,18.58333333,0,12,0,0.958679707,FALSE,0,245,40876,0.147486772
3.347188264,0.001046805,0.298758218,0.607142857,8,7,FALSE,249,21.5,0,8,0,0.953056235,FALSE,0,249,7524,0.259036145
3.71393643,7.49E-04,0.26925609,0.6,16,7,FALSE,273,19.5,0,16,0,0.945721271,FALSE,0,273,2476,0.26
3.261613692,0.004394295,0.306596702,0.346153846,13,7,FALSE,287,20.07692308,0,13,0,0.954767726,FALSE,0,287,18170,0.184191955
3.892420538,0.013006233,0.256909548,0.21978022,14,8,FALSE,307,10.07142857,0,14,0,0.942151589,FALSE,0,307,39812,0.151515152
3.234718826,0.006258367,0.309145881,0.283333333,16,7,FALSE,398,18,0,16,0,0.955305623,FALSE,0,398,19000,0.151260504
3.525672372,0.006067668,0.283633842,0.316239316,27,6,FALSE,76,14.81481481,0,27,0,0.949486553,FALSE,0,76,24964,0.168350168
4.4400978,4.26E-06,0.225220264,0.904761905,7,7,FALSE,4,17.71428571,0,7,0,0.931198044,FALSE,0,4,12,0.432055749
3.547677262,0.002560156,0.281874569,0.479532164,19,6,FALSE,159,16.63157895,0,19,0,0.949046455,FALSE,0,159,10644,0.192778458
3.601466993,0.001281194,0.27766463,0.736263736,14,6,FALSE,252,18,0,14,0,0.94797066,FALSE,0,252,6232,0.253521127
3.606356968,0.001321743,0.277288136,0.747252747,14,6,FALSE,290,18.28571429,0,14,0,0.947872861,FALSE,0,290,8790,0.253968254
3.518337408,0.014173207,0.284225156,0.346666667,25,6,FALSE,302,14.88,0,25,0,0.949633252,FALSE,0,302,37088,0.163516484
3.569682152,0.001498946,0.280136986,0.558333333,16,6,FALSE,381,17.125,0,16,0,0.948606357,FALSE,0,381,5968,0.215981013
4.4400978,8.91E-06,0.225220264,0.888888889,9,7,FALSE,393,17.33333333,0,9,0,0.931198044,FALSE,0,393,14,0.412698413
3.166259169,0.014891922,0.315830116,0.330049261,29,7,FALSE,9,18.72413793,0,29,0,0.956674817,FALSE,0,9,32578,0.14184953
3.085574572,0.006658267,0.324088748,0.415204678,19,6,FALSE,5,22.68421053,0,19,0,0.958288509,FALSE,0,5,28234,0.177220395
3.146699267,0.007482382,0.317793318,0.428571429,21,7,FALSE,21,20.71428571,0,21,0,0.957066015,FALSE,0,21,19988,0.159340659
3.474327628,5.89E-04,0.287825475,0.625,17,7,FALSE,58,19.05882353,0,17,0,0.950513447,FALSE,0,58,2012,0.250773994
3.64792176,5.58E-04,0.274128686,0.561904762,15,7,FALSE,85,18.53333333,0,15,0,0.947041565,FALSE,0,85,980,0.237606838
3.322738386,0.004525464,0.300956586,0.406926407,22,7,FALSE,173,18.68181818,0,22,0,0.953545232,FALSE,0,173,9324,0.188246097
3.190709046,0.0032196,0.313409962,0.45,16,6,FALSE,233,20.1875,0,16,0,0.956185819,FALSE,0,233,8550,0.184633028
3.64792176,0.001672718,0.274128686,0.528571429,21,7,FALSE,335,18.52380952,0,21,0,0.947041565,FALSE,0,335,5510,0.231547619
2.853300733,0.026992768,0.350471294,0.233201581,23,6,FALSE,337,19,0,23,0,0.962933985,FALSE,0,337,94820,0.136690647
3.298288509,0.012510724,0.303187546,0.257352941,17,7,FALSE,22,12.94117647,0,17,0,0.95403423,FALSE,0,22,30602,0.139152435
3.826405868,8.04E-04,0.261341853,0.444444444,10,8,FALSE,188,16.8,0,10,0,0.943471883,FALSE,0,188,1778,0.212658228
3.283618582,0.00870622,0.30454207,0.138888889,9,7,FALSE,214,17.66666667,0,9,0,0.954327628,FALSE,0,214,36482,0.169363538
3.599022005,5.30E-04,0.277853261,0.333333333,3,7,FALSE,265,17.33333333,0,3,0,0.94801956,FALSE,0,265,3316,0.377777778
4.965770171,0,0.201378631,1,2,9,FALSE,363,8,0,2,0,0.920684597,FALSE,0,363,0,0.727272727
3.398533007,1.98E-04,0.294244604,0.779411765,17,6,FALSE,12,28.23529412,0,17,0,0.95202934,FALSE,0,12,1132,0.294117647
3.337408313,8.75E-04,0.2996337,0.648550725,24,6,FALSE,51,25.79166667,0,24,0,0.953251834,FALSE,0,51,3592,0.257916667
3.469437653,1.72E-04,0.288231149,0.786764706,17,6,FALSE,183,27.29411765,0,17,0,0.950611247,FALSE,0,183,1030,0.328844791
3.457212714,0.002989855,0.289250354,0.380952381,15,6,FALSE,186,17.8,0,15,0,0.950855746,FALSE,0,186,15320,0.189361702
2.826405868,0.014690581,0.353806228,0.444444444,28,5,FALSE,193,24.96428571,0,28,0,0.963471883,FALSE,0,193,53472,0.160027473
3.02200489,0.00691957,0.330906149,0.586666667,25,6,FALSE,216,26.04,0,25,0,0.959559902,FALSE,0,216,35198,0.220338983
3.315403423,0.004518913,0.301622419,0.515669516,27,6,FALSE,226,23.59259259,0,27,0,0.953691932,FALSE,0,226,8434,0.226139601
3.474327628,0.00227802,0.287825475,0.423076923,13,6,FALSE,227,18.76923077,0,13,0,0.950513447,FALSE,0,227,13464,0.206255283
3.37408313,6.86E-04,0.296376812,0.632411067,23,6,FALSE,270,25.65217391,0,23,0,0.952518337,FALSE,0,270,2956,0.256521739
2.853300733,0.027470874,0.350471294,0.399286988,34,5,FALSE,282,22.70588235,0,34,0,0.962933985,FALSE,0,282,76214,0.161554622
2.723716381,0.201492165,0.367145422,0.138760407,47,5,FALSE,304,16.29787234,0,47,0,0.965525672,FALSE,0,304,561550,0.098051782
3.051344743,0.00624679,0.327724359,0.490196078,18,5,FALSE,11,22.27777778,0,18,0,0.958973105,FALSE,0,11,15678,0.2002002
3.249388753,7.08E-04,0.307750188,0.614379085,18,6,FALSE,8,23.88888889,0,18,0,0.955012225,FALSE,0,8,2054,0.219164118
