AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Eccentricity,EdgeCount,Indegree,IsSingleNode,name,NeighborhoodConnectivity,Outdegree,PartnerOfMultiEdgedNodePairs,selected,SelfLoops,shared name,Stress
2.752906977,9.365168608,0.363252376,0.112457912,6,83,44,FALSE,6,101.8,39,28,FALSE,0,6,5310418702
3.295827633,0,0.303413925,1,6,6,3,FALSE,5,186,3,3,FALSE,0,5,0
2.389021888,177.6552539,0.418581347,0.042357991,5,441,226,FALSE,1,48.34090909,215,177,FALSE,0,1,63466017812
3.235465116,2.936333865,0.309074573,0.073529412,6,28,13,FALSE,15,51.52941176,15,11,FALSE,0,15,1085755079
2.794288646,28.40234557,0.357872835,0.086918349,6,117,54,FALSE,4,61.52941176,63,49,FALSE,0,4,11727508415
0,0,0,0.14047619,0,21,21,FALSE,3,71.42857143,0,0,FALSE,0,3,0
2.465971272,120.4695331,0.405519728,0.03838296,6,401,191,FALSE,13,44.31162791,210,186,FALSE,0,13,48590951159
0,0,0,0,0,1,1,FALSE,16,215,0,0,FALSE,0,16,0
3.289671683,0.030743159,0.303981703,0.361111111,6,13,5,FALSE,10,95,8,4,FALSE,0,10,17806651
2.588235294,171.2977309,0.386363636,0.024295911,5,448,216,FALSE,7,30.61087866,232,209,FALSE,0,7,63728332815
3.042236662,7.802780439,0.328705525,0.091436865,6,85,40,FALSE,2,44.60377358,45,32,FALSE,0,2,3296846491
3.189124487,5.385589639,0.313565684,0.088624339,6,48,26,FALSE,21,46.96428571,22,20,FALSE,0,21,1735872698
0,0,0,0.3,0,10,10,FALSE,20,88.3,0,0,FALSE,0,20,0
3.388850889,0,0.295085276,1,6,4,3,FALSE,8,100.3333333,1,1,FALSE,0,8,0
3.090116279,2.290211137,0.323612418,0.10591133,6,45,19,FALSE,17,59.62068966,26,16,FALSE,0,17,1090920846
3.229480164,7.879380394,0.309647358,0.06773399,6,44,26,FALSE,23,49.68965517,18,15,FALSE,0,23,2059781054
0,0,0,0.055862832,0,113,113,FALSE,25,52.72566372,0,0,FALSE,0,25,0
3.259233926,4.465472709,0.306820567,0.037878788,6,23,11,FALSE,26,89.91666667,12,11,FALSE,0,26,1845834619
3.261798906,1.347338366,0.306579292,0.109090909,6,18,11,FALSE,28,107.9090909,7,7,FALSE,0,28,511312305
