Id,Label,timeset,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,clustering,componentnumber,strongcompnum,pageranks,Clustering Coefficient
6,6,,44,40,84,6,0.363682,0.389427,88568.62477,0.112458,0,1115,0.000774,0.138047
2,2,,41,45,86,6,0.328706,0.347387,69358.8779,0.091437,0,1115,0.000978,0.112482
5,5,,3,3,6,6,0.303414,0.315518,0,1,0,1115,0.000093,1
1,1,,226,215,441,5,0.418581,0.450476,1555486.335,0.042372,0,1115,0.005028,0.050006
15,15,,13,15,28,6,0.309075,0.322033,23555.60273,0.073529,0,1115,0.000323,0.080882
4,4,,54,63,117,6,0.357873,0.382743,225907.7281,0.087138,0,1115,0.001289,0.100527
3,3,,21,0,21,0,0,0,0,0.140476,0,5,0.000382,0.161905
13,13,,191,210,401,6,0.40552,0.438455,1114323.791,0.038405,0,1115,0.004281,0.043599
16,16,,1,0,1,0,0,0,0,0,0,1111,0.000052,0
10,10,,5,8,13,6,0.303982,0.315367,256.490036,0.375,0,1115,0.000134,0.472222
7,7,,216,232,448,5,0.386364,0.420716,1376579.075,0.024313,0,1115,0.005912,0.027671
21,21,,26,22,48,6,0.313566,0.32791,43608.75687,0.088624,0,1115,0.000644,0.10582
20,20,,10,0,10,0,0,0,0,0.3,0,153,0.000235,0.377778
8,8,,3,1,4,6,0.295085,0.305292,0,1,0,1115,0.000094,1
17,17,,19,26,45,6,0.323612,0.339646,22085.79343,0.105911,0,1115,0.000425,0.130542
23,23,,26,18,44,6,0.309647,0.323441,67640.29628,0.067734,0,1115,0.000692,0.083744
25,25,,113,0,113,0,0,0,0,0.055863,0,13,0.002057,0.064791
26,26,,11,12,23,6,0.306821,0.326716,41992.17717,0.037879,0,1115,0.00037,0.045455
28,28,,11,7,18,6,0.306579,0.327069,12211.27375,0.109091,0,1115,0.00034,0.109091
29,29,,35,33,68,6,0.325776,0.342567,81092.82901,0.066999,0,1115,0.000931,0.078627
31,31,,2,2,4,6,0.297094,0.307646,0,1,0,1115,0.000072,1
32,32,,6,6,12,6,0.313482,0.32606,1891.519429,0.266667,0,1115,0.000165,0.266667
34,34,,3,3,6,6,0.31042,0.323276,0,1,0,1115,0.000094,1
35,35,,535,763,1298,6,0.414018,0.47793,4912540.07,0.003058,0,1115,0.015023,0.003419
36,36,,33,35,68,6,0.336711,0.358641,154022.0217,0.0503,0,1115,0.000976,0.054054
37,37,,12,13,25,7,0.305602,0.318049,17494.9484,0.044872,0,1115,0.000343,0.051282
44,44,,3,2,5,7,0.248165,0.25479,69.066862,0.333333,0,1115,0.000107,0.333333
39,39,,25,25,50,6,0.316845,0.33231,48476.09086,0.115385,0,1115,0.000653,0.139601
45,45,,11,11,22,6,0.279876,0.291271,6527.91851,0.038462,0,1115,0.000291,0.051282
19,19,,10,12,22,6,0.315647,0.329851,9675.170475,0.128788,0,1115,0.000267,0.151515
46,46,,1,1,2,7,0.251906,0.260466,0,0,0,1115,0.000059,0
47,47,,2,2,4,6,0.301848,0.313822,0,1,0,1115,0.000077,1
51,51,,29,30,59,6,0.326813,0.343015,60826.45367,0.095699,0,1115,0.000673,0.109677
52,52,,1,1,2,7,0.245735,0.252386,0,0,0,1115,0.000059,0
53,53,,2,2,4,6,0.278848,0.290239,158.135522,0,0,1115,0.000079,0
54,54,,7,7,14,6,0.310998,0.324353,3029.404925,0.404762,0,1115,0.000268,0.52381
41,41,,95,100,195,6,0.37598,0.402727,510602.903,0.058062,0,1115,0.002407,0.064344
55,55,,1,1,2,6,0.278702,0.289925,0,0,0,1115,0.000057,0
57,57,,80,59,139,6,0.369612,0.392596,160446.6427,0.143431,0,1115,0.001487,0.164372
61,61,,9,5,14,7,0.2673,0.277654,684.912037,0.227273,0,1115,0.000187,0.309091
65,65,,1,1,2,7,0.29281,0.311154,0,0,0,1115,0.000052,0
